Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30
io.reactivex.rxjava3.core.clusters.Cluster_927._Benchmark.benchmark_Cluster_927$ ===,207590.721,207853.471,206935.377,201316.099,208095.376,206334.234,208454.532,208467.434,208350.426,208495.197,209132.667,208524.975,208846.965,208273.176,207365.433,206361.165,207502.749,208291.585,207969.247,207880.536,207554.216,208158.899,207811.418,207567.602,207508.589,207511.612,208618.589,204998.38,208699.806,208793.302
io.reactivex.rxjava3.core.clusters.Cluster_283._Benchmark.benchmark_Cluster_283$ ===,160475.869,160559.828,161576.35,161205.963,161170.099,161306.668,161457.231,161296.763,161280.496,160805.38,161754.525,161583.462,160997.992,155028.028,161697.016,160659.143,160548.412,160772.066,159465.304,161476.763,160828.571,160168.955,159651.048,161405.76,162026.328,161354.407,161540.167,160640.201,160624.763,160498.131
io.reactivex.rxjava3.core.clusters.Cluster_706._Benchmark.benchmark_Cluster_706$ ===,149596.042,149577.039,147807.505,149020.294,148776.209,147921.057,147950.14,149251.716,149503.224,149019.065,148948.144,147088.616,149779.442,149407.442,148378.836,146714.261,149663.942,149253.958,149406.052,149641.179,149010.429,149356.029,148624.966,149709.544,149801.341,149941.872,149040.764,150141.999,149169.803,148405.721
io.reactivex.rxjava3.core.clusters.Cluster_504._Benchmark.benchmark_Cluster_504$ ===,175657.473,176899.068,174996.608,177275.741,177201.433,176769.923,176796.06,176938.429,176784.788,177751.356,177010.076,177302.369,177398.414,176579.086,175749.988,177420.485,176350.989,177164.023,176717.43,176949.974,176925.056,176960.329,175826.705,176106.397,176035.73,175566.67,176217.521,176772.926,177093.789,177602.312
io.reactivex.rxjava3.core.clusters.Cluster_560._Benchmark.benchmark_Cluster_560$ ===,129858.932,128380.127,130348.123,130549.41,130407.966,130296.537,130535.681,130815.908,129973.24,130477.912,130234.881,130760.04,130647.747,130350.352,130646.102,130644.732,130028.592,130025.289,130520.304,129655.567,130388.012,130183.091,129783.805,129234.945,129954.24,130616.839,129802.76,130455.141,129937.335,129664.08
io.reactivex.rxjava3.core.clusters.Cluster_847._Benchmark.benchmark_Cluster_847$ ===,157327.186,156035.405,155220.222,157408.475,155983.032,156102.266,156561.777,156639.24,156309.112,156775.868,155758.208,156000.102,156442.84,157222.667,155708.139,156195.481,157428.43,156615.056,157506.186,157046.285,156610.096,156658.184,156361.035,156343.531,157044.958,155466.289,155180.982,156597.565,156806.549,157263.592
io.reactivex.rxjava3.core.clusters.Cluster_202._Benchmark.benchmark_Cluster_202$ ===,195267.496,196310.362,195948.963,195787.615,193528.564,195777.159,195392.316,196092.716,195922.416,196355.189,195754.0,196339.904,195334.557,195878.99,195821.427,195656.223,196597.289,195370.726,195800.701,196430.15,197068.751,195836.306,195981.979,194094.938,195953.918,196120.61,196015.197,194307.436,192675.253,193848.335
io.reactivex.rxjava3.core.clusters.Cluster_242._Benchmark.benchmark_Cluster_242$ ===,140444.595,140694.781,141018.813,141236.777,140790.977,140880.636,140096.956,139956.257,141437.343,140859.48,141343.884,141050.616,140584.351,141246.648,140689.024,139473.857,140448.687,141173.61,140524.582,140229.004,140184.358,139448.807,140503.096,139204.081,139763.446,140204.801,140003.599,140898.267,139856.974,140880.09
io.reactivex.rxjava3.core.clusters.Cluster_965._Benchmark.benchmark_Cluster_965$ ===,149668.53,150048.593,149597.647,150349.19,150463.084,150105.329,150472.735,150222.588,149389.613,149718.683,149642.569,149232.308,149370.579,149099.152,150531.249,148751.866,149880.259,149629.365,149679.262,149798.819,149591.504,149814.517,149370.376,149460.055,150586.845,149849.844,150146.916,149076.864,150227.081,149261.963
io.reactivex.rxjava3.core.clusters.Cluster_597._Benchmark.benchmark_Cluster_597$ ===,170658.338,170547.457,170337.496,170343.233,170254.808,169853.02,171104.932,167725.571,170839.76,170175.563,168930.064,170097.041,170343.095,170731.348,170496.084,170187.995,171009.85,170258.822,169883.734,170078.75,170091.482,169636.551,170556.067,170815.599,170569.383,171391.649,170421.373,170737.023,170270.631,169544.237
io.reactivex.rxjava3.core.clusters.Cluster_28._Benchmark.benchmark_Cluster_28$ ===,151040.628,150025.274,150535.715,150772.083,149750.41,150239.663,150324.889,149745.87,150530.499,150386.01,150066.892,149849.564,150136.199,149818.847,150410.753,149619.628,150236.719,149945.548,149594.286,149905.773,150386.98,149411.141,148773.916,150383.569,149688.915,150278.434,149982.614,150114.124,150473.379,150104.532
io.reactivex.rxjava3.core.clusters.Cluster_917._Benchmark.benchmark_Cluster_917$ ===,141520.247,141808.068,142716.4,141589.792,143068.964,141637.622,139843.518,140341.723,143271.254,143632.665,143089.689,142802.007,143335.65,142403.836,141934.67,142980.977,143066.265,142670.533,141654.442,141079.451,141655.113,141223.941,141318.129,142402.982,141578.897,141124.295,141917.415,142240.462,142398.873,142091.426
io.reactivex.rxjava3.core.clusters.Cluster_499._Benchmark.benchmark_Cluster_499$ ===,131525.85,131914.779,131521.922,131125.121,131953.231,131578.418,131935.725,131971.396,132113.883,132147.583,131793.029,132144.842,132037.833,131813.323,132053.293,131798.616,131651.52,131799.08,131863.392,131527.716,132330.811,131943.26,131749.326,131586.365,131822.377,131527.508,132029.791,132247.449,131769.116,132170.471
io.reactivex.rxjava3.core.clusters.Cluster_355._Benchmark.benchmark_Cluster_355$ ===,262285.425,257196.924,263799.721,263121.963,262934.573,262691.154,262881.136,263565.329,262606.422,263704.943,263214.274,263583.908,264162.033,263104.651,264177.193,261505.483,262484.877,263520.497,263171.818,262724.409,263182.62,262981.906,263767.278,263514.516,262569.747,263926.662,263406.198,262639.795,262716.809,262013.477
io.reactivex.rxjava3.core.clusters.Cluster_880._Benchmark.benchmark_Cluster_880$ ===,152785.432,149624.463,150649.955,152591.399,153462.902,153274.973,152573.56,153060.475,151285.447,152822.79,152870.27,153712.217,151516.538,152629.201,152242.174,151240.443,151862.3,151244.432,150858.561,150243.062,151606.205,151898.279,151044.48,151750.923,151207.381,152332.729,152533.821,151773.796,151765.523,153523.345
